OrderID,CustomerID,ProductID,OrderDate,ShippedDate,QuantitySold
ORD24001,EM04057,PRO00548,27-08-2022,29-07-2022,15
ORD24002,EM02649,PRO00456,29-11-2022,28-08-2022,20
ORD24003,EM01717,PRO00915,27-01-2022,02-01-2022,15
ORD24004,EM01682,PRO00682,24-12-2022,17-12-2022,9
ORD24005,EM03510,PRO00303,04-04-2022,23-08-2022,16
ORD24006,EM01111,PRO00365,09-10-2022,21-05-2022,5
ORD24007,EM03319,PRO00106,26-11-2022,18-12-2022,3
ORD24008,EM02186,PRO00381,12-09-2022,21-01-2022,15
ORD24009,EM02771,PRO00065,28-10-2022,13-08-2022,6
ORD24010,EM00973,PRO00354,13-02-2022,22-11-2022,2
ORD24011,EM01235,PRO00507,20-03-2022,17-02-2022,8
ORD24012,EM00396,PRO00888,12-03-2022,02-05-2022,6
ORD24013,EM01126,PRO00279,20-10-2022,13-12-2022,2
ORD24014,EM01185,PRO00437,30-03-2022,18-10-2022,15
ORD24015,EM05556,PRO00034,01-04-2022,15-05-2022,2
ORD24016,EM04563,PRO00973,23-03-2022,26-01-2022,15
ORD24017,EM05476,PRO00947,25-09-2022,04-02-2022,9
ORD24018,EM00611,PRO00266,15-05-2022,18-09-2022,14
ORD24019,EM00297,PRO00543,21-01-2022,07-09-2022,1
ORD24020,EM05421,PRO00016,03-01-2022,15-01-2022,6
ORD24021,EM01029,PRO00054,10-06-2022,12-01-2022,11
ORD24022,EM03346,PRO00185,05-10-2022,09-07-2022,17
ORD24023,EM03439,PRO00054,02-10-2022,13-09-2022,11
ORD24024,EM02304,PRO00607,13-07-2022,22-04-2022,11
ORD24025,EM04611,PRO00703,17-09-2022,05-10-2022,15
ORD24026,EM03334,PRO00922,21-04-2022,29-05-2022,19
ORD24027,EM05046,PRO00529,28-09-2022,08-09-2022,13
ORD24028,EM01395,PRO00393,25-09-2022,25-11-2022,5
ORD24029,EM04387,PRO00495,28-12-2022,25-02-2022,2
ORD24030,EM02204,PRO00233,11-11-2022,06-05-2022,16
ORD24031,EM04908,PRO00422,27-08-2022,29-08-2022,14
ORD24032,EM00481,PRO00544,05-01-2022,13-05-2022,19
ORD24033,EM05655,PRO00280,09-11-2022,25-01-2022,10
ORD24034,EM02847,PRO00752,27-05-2022,17-02-2022,17
ORD24035,EM02549,PRO00097,14-02-2022,03-09-2022,3
ORD24036,EM02804,PRO00502,03-02-2022,05-02-2022,7
ORD24037,EM03979,PRO00764,27-01-2022,10-09-2022,10
ORD24038,EM02100,PRO00449,09-01-2022,03-04-2022,12
ORD24039,EM00928,PRO00984,28-03-2022,29-04-2022,17
ORD24040,EM00096,PRO00805,17-07-2022,01-08-2022,4
ORD24041,EM00348,PRO00249,14-09-2022,08-04-2022,18
ORD24042,EM03298,PRO00499,01-04-2022,21-09-2022,12
ORD24043,EM05384,PRO00883,08-05-2022,07-05-2022,11
ORD24044,EM04401,PRO00557,24-04-2022,22-06-2022,19
ORD24045,EM02361,PRO00478,10-03-2022,17-01-2022,19
ORD24046,EM02097,PRO00889,05-01-2022,03-09-2022,2
ORD24047,EM05991,PRO00522,28-09-2022,12-08-2022,17
ORD24048,EM01105,PRO00135,20-06-2022,04-04-2022,15
ORD24049,EM02287,PRO00143,02-12-2022,02-04-2022,19
ORD24050,EM05194,PRO00820,08-12-2022,22-03-2022,12
ORD24051,EM00924,PRO00462,27-09-2022,29-12-2022,2
ORD24052,EM03353,PRO00572,10-06-2022,08-08-2022,19
ORD24053,EM01919,PRO00145,21-07-2022,20-07-2022,7
ORD24054,EM03089,PRO00581,20-11-2022,09-08-2022,4
ORD24055,EM03752,PRO00164,04-10-2022,04-09-2022,12
ORD24056,EM00116,PRO00786,11-02-2022,20-02-2022,16
ORD24057,EM05564,PRO00508,03-11-2022,26-09-2022,14
