OrderID,CustomerID,ProductID,OrderDate,ShippedDate,QuantitySold
ORD48001,EM01861,PRO00943,05-12-2024,08-03-2024,5
ORD48002,EM02985,PRO00693,12-11-2024,12-12-2024,6
ORD48003,EM05057,PRO00204,13-05-2024,30-12-2024,19
ORD48004,EM05088,PRO00579,08-02-2024,14-02-2024,13
ORD48005,EM00866,PRO00582,15-04-2024,29-12-2024,9
ORD48006,EM02562,PRO00216,19-06-2024,15-04-2024,17
ORD48007,EM00400,PRO00026,18-03-2024,11-05-2024,20
ORD48008,EM05991,PRO00160,08-10-2024,03-03-2024,7
ORD48009,EM02309,PRO00962,13-10-2024,20-06-2024,14
ORD48010,EM04963,PRO00836,25-01-2024,21-04-2024,8
ORD48011,EM05273,PRO00229,27-06-2024,21-01-2024,18
ORD48012,EM04372,PRO00293,25-07-2024,21-05-2024,8
ORD48013,EM04384,PRO00219,18-05-2024,13-09-2024,7
ORD48014,EM02644,PRO00865,12-06-2024,12-09-2024,17
ORD48015,EM02542,PRO00810,26-09-2024,05-10-2024,5
ORD48016,EM02353,PRO00006,29-03-2024,22-08-2024,2
ORD48017,EM05496,PRO00756,18-11-2024,20-11-2024,8
ORD48018,EM01939,PRO00194,04-06-2024,21-06-2024,14
ORD48019,EM05727,PRO00019,04-06-2024,21-04-2024,13
ORD48020,EM05314,PRO00851,30-04-2024,20-03-2024,1
ORD48021,EM04639,PRO00586,14-10-2024,17-07-2024,13
ORD48022,EM04805,PRO00422,04-11-2024,11-06-2024,6
ORD48023,EM05634,PRO00661,28-05-2024,06-06-2024,12
ORD48024,EM01103,PRO00444,03-03-2024,07-06-2024,16
ORD48025,EM02891,PRO00901,16-10-2024,24-12-2024,16
ORD48026,EM01318,PRO00050,24-01-2024,24-09-2024,15
ORD48027,EM01939,PRO00113,25-06-2024,01-10-2024,3
ORD48028,EM03108,PRO00019,15-05-2024,06-02-2024,1
ORD48029,EM05749,PRO00012,10-08-2024,17-09-2024,11
ORD48030,EM03709,PRO00827,26-01-2024,02-10-2024,3
ORD48031,EM05570,PRO00407,09-05-2024,19-03-2024,18
ORD48032,EM02337,PRO00308,14-08-2024,02-04-2024,6
ORD48033,EM05943,PRO00210,01-10-2024,29-01-2024,4
ORD48034,EM02972,PRO00744,12-01-2024,10-10-2024,13
ORD48035,EM03439,PRO00697,17-10-2024,07-07-2024,11
ORD48036,EM03878,PRO00117,15-04-2024,02-08-2024,4
ORD48037,EM02965,PRO00866,31-05-2024,13-01-2024,18
ORD48038,EM05874,PRO00516,23-08-2024,24-09-2024,6
ORD48039,EM02438,PRO00959,26-11-2024,07-06-2024,6
ORD48040,EM05369,PRO00170,09-01-2024,19-09-2024,9
ORD48041,EM02230,PRO00206,06-09-2024,18-04-2024,3
ORD48042,EM00785,PRO00679,02-06-2024,18-04-2024,1
ORD48043,EM01227,PRO00161,28-08-2024,09-11-2024,20
ORD48044,EM04974,PRO00201,12-06-2024,12-07-2024,4
ORD48045,EM05183,PRO00516,12-10-2024,23-12-2024,15
ORD48046,EM05779,PRO00924,14-11-2024,02-11-2024,12
ORD48047,EM03909,PRO00259,02-08-2024,31-01-2024,14
ORD48048,EM05475,PRO00184,01-06-2024,26-01-2024,5
ORD48049,EM05409,PRO00111,07-03-2024,29-04-2024,7
ORD48050,EM04212,PRO00212,12-02-2024,03-02-2024,12
ORD48051,EM01502,PRO00587,11-04-2024,06-04-2024,4
ORD48052,EM02040,PRO00025,27-01-2024,20-01-2024,1
ORD48053,EM00604,PRO00193,08-06-2024,30-11-2024,8
ORD48054,EM05516,PRO00184,13-05-2024,06-03-2024,4
ORD48055,EM01511,PRO00528,30-05-2024,06-02-2024,19
ORD48056,EM05035,PRO00309,24-09-2024,18-03-2024,10
ORD48057,EM04704,PRO00213,27-10-2024,06-11-2024,20
ORD48058,EM05942,PRO00207,04-04-2024,22-06-2024,5
ORD48059,EM05472,PRO00208,07-09-2024,12-05-2024,4
ORD48060,EM01163,PRO00796,26-01-2024,19-09-2024,6
ORD48061,EM01446,PRO00772,30-03-2024,27-05-2024,3
ORD48062,EM01351,PRO00360,03-10-2024,08-07-2024,16
ORD48063,EM05233,PRO00461,31-10-2024,03-10-2024,17
ORD48064,EM05569,PRO00703,28-03-2024,09-10-2024,4
ORD48065,EM04067,PRO00200,06-05-2024,22-01-2024,20
ORD48066,EM05583,PRO00843,20-11-2024,22-09-2024,3
ORD48067,EM02079,PRO00527,23-04-2024,25-02-2024,17
ORD48068,EM02987,PRO00811,24-11-2024,14-02-2024,13
ORD48069,EM00064,PRO00757,06-02-2024,19-10-2024,7
ORD48070,EM03903,PRO00817,13-06-2024,04-05-2024,17
ORD48071,EM02357,PRO00378,31-03-2024,09-02-2024,15
ORD48072,EM03213,PRO00560,20-11-2024,06-05-2024,3
ORD48073,EM05220,PRO00374,10-06-2024,09-09-2024,11
ORD48074,EM03934,PRO00276,18-02-2024,14-05-2024,11
ORD48075,EM00955,PRO00231,28-12-2024,04-06-2024,13
ORD48076,EM05972,PRO00337,25-09-2024,03-03-2024,2
ORD48077,EM03306,PRO00989,02-02-2024,02-08-2024,2
ORD48078,EM00025,PRO00003,24-01-2024,24-06-2024,13
ORD48079,EM02085,PRO00921,17-02-2024,27-09-2024,4
ORD48080,EM05138,PRO00811,09-11-2024,13-11-2024,15
ORD48081,EM01679,PRO00697,05-07-2024,09-06-2024,10
ORD48082,EM03579,PRO00519,13-05-2024,26-01-2024,8
ORD48083,EM00066,PRO00257,08-01-2024,10-12-2024,5
ORD48084,EM01023,PRO00149,14-08-2024,28-12-2024,19
ORD48085,EM05589,PRO00611,28-04-2024,09-05-2024,10
ORD48086,EM02191,PRO00693,06-12-2024,27-08-2024,16
ORD48087,EM04406,PRO00929,17-06-2024,24-06-2024,12
ORD48088,EM04169,PRO00382,02-07-2024,19-09-2024,18
ORD48089,EM01606,PRO00353,12-03-2024,18-01-2024,14
ORD48090,EM05689,PRO00819,28-06-2024,11-11-2024,17
ORD48091,EM01619,PRO00088,01-04-2024,01-10-2024,19
ORD48092,EM05105,PRO00701,21-07-2024,06-08-2024,16
ORD48093,EM05775,PRO00951,30-12-2024,26-01-2024,16
ORD48094,EM02600,PRO00739,17-08-2024,30-01-2024,19
ORD48095,EM00467,PRO00719,01-09-2024,15-04-2024,2
ORD48096,EM03297,PRO00224,04-07-2024,22-10-2024,6
ORD48097,EM04353,PRO00259,10-03-2024,21-07-2024,5
ORD48098,EM00751,PRO00221,14-11-2024,15-01-2024,4
ORD48099,EM05552,PRO00151,15-01-2024,01-07-2024,7
ORD48100,EM02910,PRO00302,15-10-2024,24-04-2024,1
ORD48101,EM00494,PRO00186,07-05-2024,12-06-2024,17
ORD48102,EM02577,PRO00854,20-04-2024,19-04-2024,12
ORD48103,EM01694,PRO00804,05-10-2024,10-05-2024,16
ORD48104,EM03885,PRO00714,20-01-2024,03-01-2024,17
ORD48105,EM04613,PRO00694,14-05-2024,04-01-2024,14
ORD48106,EM03615,PRO00382,08-10-2024,29-01-2024,1
ORD48107,EM05660,PRO00081,20-08-2024,11-10-2024,1
ORD48108,EM01424,PRO00322,20-08-2024,08-03-2024,1
ORD48109,EM04629,PRO00018,22-09-2024,29-09-2024,3
ORD48110,EM00159,PRO00078,02-01-2024,18-10-2024,16
ORD48111,EM02298,PRO00020,13-12-2024,08-11-2024,20
ORD48112,EM01586,PRO00156,05-12-2024,01-05-2024,20
ORD48113,EM03605,PRO00231,16-02-2024,09-04-2024,11
