OrderID,CustomerID,ProductID,OrderDate,ShippedDate,QuantitySold
ORD12001,EM02294,PRO00111,12-07-2021,03-07-2021,17
ORD12002,EM04972,PRO00824,24-01-2021,15-05-2021,11
ORD12003,EM01432,PRO00480,10-03-2021,28-03-2021,16
ORD12004,EM01996,PRO00428,28-09-2021,14-07-2021,19
ORD12005,EM05057,PRO00663,21-10-2021,20-11-2021,13
ORD12006,EM00380,PRO00881,31-07-2021,03-08-2021,13
ORD12007,EM02057,PRO00377,17-05-2021,20-04-2021,8
ORD12008,EM01085,PRO00126,24-10-2021,18-06-2021,17
ORD12009,EM01966,PRO00718,28-08-2021,13-04-2021,6
ORD12010,EM02105,PRO00268,20-06-2021,31-10-2021,7
ORD12011,EM02560,PRO00554,04-09-2021,27-01-2021,13
ORD12012,EM00427,PRO00028,04-04-2021,02-10-2021,5
ORD12013,EM04020,PRO00002,19-11-2021,16-11-2021,1
ORD12014,EM03215,PRO00061,15-02-2021,11-07-2021,17
ORD12015,EM01201,PRO00781,08-05-2021,01-12-2021,10
ORD12016,EM05138,PRO00784,23-06-2021,19-03-2021,5
ORD12017,EM02760,PRO00813,26-01-2021,30-10-2021,4
ORD12018,EM04810,PRO00877,30-09-2021,24-10-2021,3
ORD12019,EM02689,PRO00810,09-10-2021,21-10-2021,12
ORD12020,EM04756,PRO00392,23-05-2021,18-05-2021,13
ORD12021,EM00884,PRO00818,11-10-2021,16-07-2021,2
ORD12022,EM05128,PRO00392,21-02-2021,30-09-2021,13
ORD12023,EM04303,PRO00582,30-06-2021,06-12-2021,14
ORD12024,EM03729,PRO00989,22-11-2021,13-09-2021,9
ORD12025,EM00065,PRO00374,15-07-2021,24-11-2021,9
ORD12026,EM00707,PRO00016,25-07-2021,25-02-2021,10
ORD12027,EM00045,PRO00433,30-09-2021,02-09-2021,19
ORD12028,EM01518,PRO00301,11-02-2021,16-07-2021,19
ORD12029,EM05827,PRO00138,25-11-2021,22-06-2021,12
ORD12030,EM01820,PRO00772,11-08-2021,14-06-2021,1
ORD12031,EM01003,PRO00132,14-02-2021,18-02-2021,6
ORD12032,EM05305,PRO00857,03-11-2021,23-09-2021,9
ORD12033,EM03774,PRO00349,16-01-2021,27-02-2021,3
ORD12034,EM03003,PRO00698,18-07-2021,04-05-2021,10
ORD12035,EM00772,PRO00582,31-07-2021,07-10-2021,16
ORD12036,EM05779,PRO00312,16-12-2021,18-01-2021,7
ORD12037,EM00311,PRO00999,19-08-2021,27-02-2021,19
ORD12038,EM00362,PRO00130,22-04-2021,05-03-2021,9
